layer,sg,name,st,co,start,end,status,ocius,mi,hh_rem,nepa_status,nepa_approved_mi,nepa_blocked_mi,nepa_packages
2026 in construction,CA-8963,Tensas Parish-NONE-CA-8963-Construction Area - Tensas Connector,LA,Tensas Parish,2026-04-01,2026-05-31,Loaded,420,5.59,138,clear,4.19,0.0,SUB-17
2026 in construction,CA-9366,Rapides Parish-NONE-CA-9366-Construction Area - Rapides West RDOF,LA,Rapides Parish,2026-04-01,2026-08-31,in_construction,429,69.69,1581,blocked,0.0,73.72,SUB-24
2026 in construction,CA-9367,Rapides Parish-NONE-CA-9367-Construction Area - Rapides Southwest RDOF,LA,Rapides Parish,2026-04-01,2026-08-31,in_construction,431,65.63,1340,blocked,0.0,79.52,SUB-24
2026 not started,CA-9370,Avoyelles Parish-NONE-CA-9370-Construction Area - Tunica-Biloxi Reservation,LA,Avoyelles Parish,2026-04-01,2026-04-30,not_started,212,0.0,0,blocked,0.0,0.69,SUB-23
2026 not started,CA-9382,LaSalle Parish-NONE-CA-9382-Construction Area - LaSalle Erate,LA,LaSalle Parish,2026-04-01,2026-04-30,not_started,419,0.0,4,no_data,0.0,0.0,
2026 in construction,CA-8433,Calcasieu Parish-NONE-CA-8433-Construction Area - Dequincy Northeast,LA,Calcasieu Parish,2026-08-01,2026-09-30,In Construction,238,7.9,350,clear,4.1,0.0,SUB-9
2026 in construction,CA-8479,Jefferson Davis Parish-NONE-CA-8479-Construction Area - Fenton,LA,Jefferson Davis Parish,2026-08-01,2026-08-31,In Construction,388,2.82,205,blocked,0.0,7.3,SUB-31
2026 in construction,CA-9368,Rapides Parish-NONE-CA-9368-Construction Area - Rapides Central RDOF,LA,Rapides Parish,2026-08-01,2027-02-28,in_construction,430,45.02,1537,blocked,0.0,33.09,"SUB-24, SUB-26"
2026 in construction,CA-9369,Rapides Parish-NONE-CA-9369-Construction Area - Rapides South RDOF,LA,Rapides Parish,2026-08-01,2027-02-28,in_construction,0,34.14,1239,partial,36.29,1.32,"SUB-25, SUB-26"
2026 in construction,CA-9385,Vernon Parish-NONE-CA-9385-Construction Area - Toledo Bend - Vernon,LA,Vernon Parish,2026-08-01,2026-09-30,in_construction,0,2.92,32,blocked,0.0,1.06,SUB-3
2026 not started,CDA-25744,Acadia Parish-NONE-CDA-25744-Stat Area - 2026 - CDA-25744,LA,Acadia Parish,2026-08-01,2026-11-30,not_started,0,6.52,4519,partial,4.11,13.6,"SUB-30, SUB-32"
2026 not started,CDA-25746,Acadia Parish-NONE-CDA-25746-Stat Area - 2026 - CDA-25746,LA,Acadia Parish,2026-08-01,2028-04-30,not_started,0,148.26,9066,partial,33.02,112.33,"SUB-30, SUB-32"
2026 not started,CDA-26549,Vernon Parish-NONE-CDA-26549-Stat Area - 2027 - CDA-26549,LA,Vernon Parish,2026-08-01,2027-06-30,not_started,0,52.17,2991,blocked,0.0,31.28,SUB-2
2026 not started,CDA-26552,Vernon Parish-NONE-CDA-26552-Stat Area - 2027 - CDA-26552,LA,Vernon Parish,2026-08-01,2026-10-31,not_started,0,13.45,776,blocked,0.0,14.33,SUB-2
2026 not started,CDA-26977,Rapides Parish-NONE-CDA-26977-Stat Area - 2026 - CDA-26977,LA,Rapides Parish,2026-08-01,2027-04-30,not_started,0,57.19,2103,clear,63.31,0.0,"SUB-12, SUB-25"
2026 not started,CDA-27346,Rapides Parish-NONE-CDA-27346-Stat Area - 2026 - CDA-27346,LA,Rapides Parish,2026-08-01,2028-05-31,not_started,0,151.01,16061,blocked,0.0,50.09,SUB-26
2026 not started,CDA-27348,Rapides Parish-NONE-CDA-27348-Stat Area - 2026 - CDA-27348,LA,Rapides Parish,2026-08-01,2027-07-31,not_started,0,105.6,2914,partial,55.53,35.89,"SUB-23, SUB-25, SUB-26"
2026 not started,CDA-27355,Natchitoches Parish-NONE-CDA-27355-Stat Area - 2027 - CDA-27355,LA,Natchitoches Parish,2026-08-01,2027-02-28,not_started,0,17.13,972,blocked,0.0,10.47,SUB-20
2026 not started,CDA-27356,Natchitoches Parish-NONE-CDA-27356-Stat Area - 2027 - CDA-27356,LA,Natchitoches Parish,2026-08-01,2027-02-28,not_started,0,15.13,2480,blocked,0.0,3.19,SUB-20
2026 not started,CDA-28578,Grant Parish-NONE-CDA-28578-Stat Area - 2027 - CDA-28578,LA,Grant Parish,2026-08-01,2026-10-31,not_started,0,1.44,403,blocked,0.0,36.21,SUB-26
2026 not started,CDA-28975,Avoyelles Parish-NONE-CDA-28975-Stat Area - 2027 - CDA-28975,LA,Avoyelles Parish,2026-08-01,2026-10-31,not_started,0,14.93,349,blocked,0.0,9.4,SUB-23
2026 not started,DA-10517,Acadia Parish-NONE-DA-10517-APPROVEDDESIGNAREAS - Acadia Parish,LA,Acadia Parish,2026-08-01,2027-02-28,not_started,0,35.53,688,partial,9.25,2.4,"SUB-29, SUB-30, SUB-32"
2026 in construction,CA-8503,Winn Parish-NONE-CA-8503-Construction Area - Winn North Remaining,LA,Winn Parish,2026-09-15,2026-10-14,In Construction,385,12.9,1139,clear,7.32,0.0,SUB-21
2026 in construction,CA-8504,Winn Parish-NONE-CA-8504-Construction Area - Winn South Remaining,LA,Winn Parish,2026-09-15,2026-11-14,In Construction,384,25.65,1563,clear,20.24,0.0,SUB-21
2026 in construction,CA-8934,Avoyelles Parish-NONE-CA-8934-Construction Area - Avoyelles Extended North,LA,Avoyelles Parish,2026-09-15,2027-02-14,Loaded,408,69.36,1231,blocked,0.0,48.95,"SUB-23, SUB-26"
2026 in construction,CA-9384,Sabine Parish-NONE-CA-9384-Construction Area - Toledo Bend,LA,Sabine Parish,2026-09-15,2026-10-14,in_construction,0,3.54,74,blocked,0.0,1.09,SUB-3
2026 not started,CDA-26545,Evangeline Parish-NONE-CDA-26545-Stat Area - 2026 - CDA-26545,LA,Evangeline Parish,2026-10-01,2027-05-31,not_started,0,63.97,874,clear,51.57,0.0,SUB-12
2026 not started,CDA-26551,Vernon Parish-NONE-CDA-26551-Stat Area - 2027 - CDA-26551,LA,Vernon Parish,2026-10-01,2026-11-30,not_started,0,3.98,264,blocked,0.0,9.19,SUB-2
2026 not started,CDA-26957,Vermilion Parish-NONE-CDA-26957-Stat Area - 2027 - CDA-26957,LA,Vermilion Parish,2026-10-01,2027-08-31,not_started,0,222.02,2381,clear,175.34,0.0,SUB-29
2026 not started,CDA-26969,Concordia Parish-NONE-CDA-26969-Stat Area - 2026 - CDA-26969,LA,Concordia Parish,2026-10-01,2026-10-31,not_started,0,2.77,66,clear,2.81,0.0,SUB-17
2026 not started,CDA-27342,Rapides Parish-NONE-CDA-27342-Stat Area - 2026 - CDA-27342,LA,Rapides Parish,2026-10-01,2027-05-31,not_started,0,99.55,3850,blocked,0.0,107.18,SUB-26
2026 not started,CDA-27360,Lincoln Parish-NONE-CDA-27360-Stat Area - 2027 - CDA-27360,LA,Lincoln Parish,2026-10-01,2027-05-31,not_started,0,122.12,3682,clear,74.6,0.0,SUB-15
2026 not started,CDA-27367,Iberia Parish-NONE-CDA-27367-Stat Area - 2027 - CDA-27367,LA,Iberia Parish,2026-10-01,2027-05-31,not_started,0,76.19,2753,blocked,0.0,60.76,SUB-28
2026 not started,CDA-27374,Lafayette Parish-NONE-CDA-27374-Stat Area - 2026 - CDA-27374,LA,Lafayette Parish,2026-10-01,2027-05-31,not_started,0,87.88,3133,blocked,0.0,75.03,SUB-32
2026 not started,CDA-27394,St. Martin Parish-NONE-CDA-27394-Stat Area - 2027 - CDA-27394,LA,St. Martin Parish,2026-10-01,2027-05-31,not_started,0,124.87,6260,blocked,0.0,77.08,"SUB-28, SUB-32"
2026 not started,CDA-28562,Calcasieu Parish-NONE-CDA-28562-Stat Area - 2027 - CDA-28562,LA,Calcasieu Parish,2026-10-01,2027-05-31,not_started,0,84.19,2138,partial,58.36,2.47,"SUB-8, SUB-9"
2026 not started,CDA-28977,Avoyelles Parish-NONE-CDA-28977-Stat Area - 2027 - CDA-28977,LA,Avoyelles Parish,2026-10-01,2026-10-31,not_started,0,1.44,16,blocked,0.0,0.85,SUB-23
2026 not started,CDA-32559,Simpson County-NONE-CDA-32559-Stat Area - 2027 - CDA-32559,MS,Simpson County,2026-10-01,2026-10-31,not_started,0,0.15,3,no_data,0.0,0.0,
2026 not started,CDA-32564,Covington County-NONE-CDA-32564-Stat Area - 2027 - CDA-32564,MS,Covington County,2026-10-01,2027-05-31,not_started,0,67.46,952,no_data,0.0,0.0,
2026 not started,CDA-32569,Pearl River County-NONE-CDA-32569-Stat Area - 2027 - CDA-32569,MS,Pearl River County,2026-10-01,2027-05-31,not_started,0,33.98,468,no_data,0.0,0.0,
2026 not started,CDA-32571,Lamar County-NONE-CDA-32571-Stat Area - 2027 - CDA-32571,MS,Lamar County,2026-10-01,2026-10-31,not_started,0,1.07,17,no_data,0.0,0.0,
2026 not started,DA-10532,Jefferson Davis County-NONE-DA-10532-APPROVEDDESIGNAREAS - MS BEAD Monticello East,MS,Jefferson Davis County,2026-10-01,2026-10-31,not_started,0,0.41,109,no_data,0.0,0.0,
2026 not started,DA-10977,Acadia Parish-NONE-DA-10977-APPROVEDDESIGNAREAS - Acadia-1,LA,Acadia Parish,2026-10-01,2026-10-31,not_started,0,1.1,105,partial,8.75,3.29,"SUB-30, SUB-32"
2026 not started,DA-6882,Wilkinson County-NONE-DA-6882-APPROVEDDESIGNAREAS - CPF_BEAM_Southwest,MS,Wilkinson County,2026-10-01,2026-10-31,not_started,0,0.36,10,no_data,0.0,0.0,
2026 not started,CDA-26544,Evangeline Parish-NONE-CDA-26544-Stat Area - 2026 - CDA-26544,LA,Evangeline Parish,2026-11-01,2027-06-30,not_started,0,60.28,1937,clear,66.51,0.0,SUB-12
2026 not started,CDA-26550,Vernon Parish-NONE-CDA-26550-Stat Area - 2027 - CDA-26550,LA,Vernon Parish,2026-11-01,2027-04-30,not_started,0,9.67,299,blocked,0.0,9.32,SUB-2
2026 not started,CDA-26946,Webster Parish-NONE-CDA-26946-Stat Area - 2026 - CDA-26946,LA,Webster Parish,2026-11-01,2027-06-30,not_started,0,67.07,4161,clear,45.03,0.0,SUB-16
2026 not started,CDA-26970,Concordia Parish-NONE-CDA-26970-Stat Area - 2026 - CDA-26970,LA,Concordia Parish,2026-11-01,2027-06-30,not_started,0,19.8,432,clear,19.1,0.0,SUB-17
2026 not started,CDA-27341,Rapides Parish-NONE-CDA-27341-Stat Area - 2026 - CDA-27341,LA,Rapides Parish,2026-11-01,2027-06-30,not_started,0,86.9,5978,blocked,0.0,30.68,SUB-26
2026 not started,CDA-27368,Iberia Parish-NONE-CDA-27368-Stat Area - 2027 - CDA-27368,LA,Iberia Parish,2026-11-01,2027-06-30,not_started,0,53.68,1856,blocked,0.0,66.76,SUB-28
2026 not started,CDA-27386,Lafayette Parish-NONE-CDA-27386-Stat Area - 2027 - CDA-27386,LA,Lafayette Parish,2026-11-01,2027-06-30,not_started,0,32.24,1356,blocked,0.0,26.4,SUB-32
2026 not started,CDA-32556,Simpson County-NONE-CDA-32556-Stat Area - 2027 - CDA-32556,MS,Simpson County,2026-11-01,2026-12-31,not_started,0,1.29,13,no_data,0.0,0.0,
2026 not started,CDA-32563,Covington County-NONE-CDA-32563-Stat Area - 2027 - CDA-32563,MS,Covington County,2026-11-01,2027-03-31,not_started,0,5.76,68,no_data,0.0,0.0,
2026 not started,CDA-32568,Pearl River County-NONE-CDA-32568-Stat Area - 2027 - CDA-32568,MS,Pearl River County,2026-11-01,2027-01-31,not_started,0,2.59,73,no_data,0.0,0.0,
2026 not started,CDA-32572,Wilkinson County-NONE-CDA-32572-Stat Area - 2028 - CDA-32572,MS,Wilkinson County,2026-11-01,2027-01-31,not_started,0,2.03,0,no_data,0.0,0.0,
2026 not started,DA-10516,Vermilion Parish-NONE-DA-10516-APPROVEDDESIGNAREAS - Vermillion Parish,LA,Vermilion Parish,2026-11-01,2027-03-31,not_started,0,7.11,757,blocked,0.0,0.31,SUB-32
scheduled start,CA-9364,Vernon Parish-NONE-CA-9364-Construction Area - NLSVL Addition,LA,Vernon Parish,2027-01-01,2027-01-31,not_started,0,0.0,29,no_data,0.0,0.0,
scheduled start,CDA-26140,Jefferson Davis Parish-NONE-CDA-26140-Stat Area - 2026 - CDA-26140,LA,Jefferson Davis Parish,2027-01-01,2027-08-31,not_started,0,0.6,96,partial,5.49,15.24,"SUB-29, SUB-30, SUB-31"
scheduled start,CDA-26968,Concordia Parish-NONE-CDA-26968-Stat Area - 2026 - CDA-26968,LA,Concordia Parish,2027-01-01,2027-03-31,not_started,0,4.14,1951,clear,1.44,0.0,SUB-17
scheduled start,CDA-27340,Grant Parish-NONE-CDA-27340-Stat Area - 2026 - CDA-27340,LA,Grant Parish,2027-01-01,2027-07-31,not_started,0,0.31,55,blocked,0.0,7.18,SUB-26
scheduled start,CDA-27370,Iberia Parish-NONE-CDA-27370-Stat Area - 2027 - CDA-27370,LA,Iberia Parish,2027-01-01,2027-06-30,not_started,0,49.57,2057,blocked,0.0,37.76,SUB-28
scheduled start,CDA-28545,Beauregard Parish-NONE-CDA-28545-Stat Area - 2026 - CDA-28545,LA,Beauregard Parish,2027-01-01,2027-01-31,not_started,0,0.39,0,no_data,0.0,0.0,
scheduled start,CDA-29100,Catahoula Parish-NONE-CDA-29100-Stat Area - 2026 - CDA-29100,LA,Catahoula Parish,2027-01-01,2027-01-31,not_started,0,0.5,37,no_data,0.0,0.0,
scheduled start,CDA-32557,Jefferson Davis County-NONE-CDA-32557-Stat Area - 2027 - CDA-32557,MS,Jefferson Davis County,2027-01-01,2027-04-30,not_started,0,71.3,918,no_data,0.0,0.0,
scheduled start,CDA-32558,Simpson County-NONE-CDA-32558-Stat Area - 2027 - CDA-32558,MS,Simpson County,2027-01-01,2027-01-31,not_started,0,0.18,1,no_data,0.0,0.0,
scheduled start,CDA-32562,Covington County-NONE-CDA-32562-Stat Area - 2027 - CDA-32562,MS,Covington County,2027-01-01,2027-01-31,not_started,0,0.46,10,no_data,0.0,0.0,
scheduled start,CDA-32567,Pearl River County-NONE-CDA-32567-Stat Area - 2027 - CDA-32567,MS,Pearl River County,2027-01-01,2027-03-31,not_started,0,3.39,26,no_data,0.0,0.0,
scheduled start,DA-10518,Lafayette Parish-NONE-DA-10518-APPROVEDDESIGNAREAS - Lafayette Parish,LA,Lafayette Parish,2027-01-01,2027-01-31,not_started,0,1.02,264,blocked,0.0,3.29,"SUB-28, SUB-32"
scheduled start,CDA-26547,Vernon Parish-NONE-CDA-26547-Stat Area - 2027 - CDA-26547,LA,Vernon Parish,2027-02-01,2027-04-30,not_started,0,6.48,133,blocked,0.0,6.32,SUB-2
scheduled start,CDA-27345,Rapides Parish-NONE-CDA-27345-Stat Area - 2026 - CDA-27345,LA,Rapides Parish,2027-02-01,2027-07-31,not_started,0,61.11,3932,blocked,0.0,30.25,SUB-26
scheduled start,CDA-27371,Iberia Parish-NONE-CDA-27371-Stat Area - 2027 - CDA-27371,LA,Iberia Parish,2027-02-01,2027-07-31,not_started,0,70.77,4223,blocked,0.0,76.25,SUB-28
scheduled start,CDA-27380,Lafayette Parish-NONE-CDA-27380-Stat Area - 2027 - CDA-27380,LA,Lafayette Parish,2027-02-01,2027-07-31,not_started,0,25.17,2021,blocked,0.0,38.2,"SUB-28, SUB-32"
scheduled start,CDA-29095,Concordia Parish-NONE-CDA-29095-Stat Area - 2026 - CDA-29095,LA,Concordia Parish,2027-02-01,2027-04-30,not_started,0,4.93,0,no_data,0.0,0.0,
scheduled start,CDA-32560,Jefferson Davis County-NONE-CDA-32560-Stat Area - 2027 - CDA-32560,MS,Jefferson Davis County,2027-02-01,2027-05-31,not_started,0,79.8,1970,no_data,0.0,0.0,
scheduled start,DA-10534,Pearl River County-NONE-DA-10534-APPROVEDDESIGNAREAS - MS BEAD Lumberton South,MS,Pearl River County,2027-02-01,2027-02-28,not_started,0,0.25,8,no_data,0.0,0.0,
scheduled start,DA-10519,Iberia Parish-NONE-DA-10519-APPROVEDDESIGNAREAS - Iberia Parish,LA,Iberia Parish,2027-03-01,2027-03-31,not_started,0,2.65,244,no_data,0.0,0.0,
scheduled start,DA-10973,Lafayette Parish-NONE-DA-10973-APPROVEDDESIGNAREAS - Lafayette-2,LA,Lafayette Parish,2027-03-01,2027-03-31,not_started,0,0.95,1,no_data,0.0,0.0,
scheduled start,DA-6751,Rapides Parish-NONE-DA-6751-APPROVEDDESIGNAREAS - Mcnary/Forest HIll/Glenmora,LA,Rapides Parish,2027-03-01,2027-03-31,not_started,0,1.62,244,clear,2.32,0.0,"SUB-12, SUB-25"
scheduled start,CDA-27369,Iberia Parish-NONE-CDA-27369-Stat Area - 2027 - CDA-27369,LA,Iberia Parish,2027-04-01,2027-08-31,not_started,0,45.94,1919,blocked,0.0,50.1,SUB-28
scheduled start,CDA-27343,Rapides Parish-NONE-CDA-27343-Stat Area - 2026 - CDA-27343,LA,Rapides Parish,2027-05-01,2027-09-30,not_started,0,68.8,1789,blocked,0.0,57.94,SUB-26
scheduled start,CDA-32561,Jefferson Davis County-NONE-CDA-32561-Stat Area - 2027 - CDA-32561,MS,Jefferson Davis County,2027-05-01,2027-08-31,not_started,0,110.36,1980,no_data,0.0,0.0,
scheduled start,DA-10520,Jefferson Davis Parish-NONE-DA-10520-APPROVEDDESIGNAREAS - Jefferson Davis BEAD,LA,Jefferson Davis Parish,2027-05-01,2027-05-31,not_started,,0.5,188,partial,0.37,6.34,"SUB-30, SUB-31"
scheduled start,CDA-26951,Webster Parish-NONE-CDA-26951-Stat Area - 2026 - CDA-26951,LA,Webster Parish,2027-07-01,2027-11-30,not_started,0,16.43,319,clear,8.72,0.0,SUB-16
scheduled start,CDA-27344,Rapides Parish-NONE-CDA-27344-Stat Area - 2026 - CDA-27344,LA,Rapides Parish,2027-08-01,2028-02-29,not_started,0,30.32,3121,blocked,0.0,4.95,SUB-26
scheduled start,CDA-27365,Iberia Parish-NONE-CDA-27365-Stat Area - 2027 - CDA-27365,LA,Iberia Parish,2027-08-01,2028-02-29,not_started,0,67.77,5944,blocked,0.0,19.6,SUB-28
scheduled start,DA-2889,West Feliciana Parish-NONE-DA-2889-APPROVEDDESIGNAREAS - West Feliciana RDOF Section 1,LA,West Feliciana Parish,2027-08-01,2028-02-29,not_started,0,21.37,128,no_data,0.0,0.0,
scheduled start,CDA-28998,De Soto Parish-NONE-CDA-28998-Stat Area - 2027 - CDA-28998,LA,De Soto Parish,2028-01-01,2028-04-30,not_started,0,6.84,1123,blocked,0.0,0.56,SUB-5
scheduled start,CDA-28999,De Soto Parish-NONE-CDA-28999-Stat Area - 2026 - CDA-28999,LA,De Soto Parish,2028-01-01,2028-01-31,not_started,0,1.06,162,no_data,0.0,0.0,
scheduled start,CDA-29000,De Soto Parish-NONE-CDA-29000-Stat Area - 2026 - CDA-29000,LA,De Soto Parish,2028-01-01,2028-02-29,not_started,0,1.8,393,no_data,0.0,0.0,
